All Test Averages	Trial Number	Test Timestamp	Tester Name	Dock Shape Style	Virtual Device Visible	Time Taken	Shape Precision %	Orientation Precision %	Overall Precision %	Dock Rotate Angle	Dock ChildRotate Angle	Dock RotateInverse Angle	Dock ChildRotateInverse Angle	Dock x Rotation	Dock y Rotation	Dock z Rotation	Efficiency %	Total Difficulty	MV Avg	MV Rotate Angle	MV ChildRotate Angle	MV RotateInverse Angle	MV ChildRotateInverse Angle	MV x Rotation	MV y Rotation	MV z Rotation	TRE Avg	TRE Rotate Angle	TRE ChildRotate Angle	TRE RotateInverse Angle	TRE ChildRotateInverse Angle	TRE x Rotation	TRE y Rotation	TRE z Rotation	
	68	2018-10-30_15:32:40	0	ZEROING DATA	True	0.5946733	99.80731	100	99.88989	0.08599854	6.941325E-05	0	0.105157	0	0	0	99.99986	0.0002124721	2.109894	0	2.109894	0	0	0	0	0	0	1	1	1	1	1	1	1	
	69	2018-10-30_15:32:41	0	Ltd Random	False	0.6543199	78.48963	83.33333	73.42265	29.98792	30	0	89.96368	90	90.00001	0	99.70597	0.3666129	14.7692	2.813171	7.736252	0	4.219772	0	0	0	0	0	0	1	0	0	0	1	
	70	2018-10-30_15:32:42	0	ZEROING DATA	True	0.6560854	99.08119	100	99.47497	0.01281738	5.490083E-06	0	0.03848338	0	0	0	99.99995	5.700695E-05	8.908394	0	4.688637	0	4.219757	0	0	0	0	1	1	1	1	1	1	1	
	71	2018-10-30_15:32:43	0	Presets_dockPreset_5	True	0.6550617	86.43037	45.65942	64.20999	2.682056E-06	2.39854E-13	0	89.9651	59.8136	170.2563	123.1829	99.58504	0.4924643	18.75458	10.78387	5.157509	0	2.813202	0	0	0	0	1	1	1	0	0	0	0	
	72	2018-10-30_15:32:43	0	ZEROING DATA	True	0.5980741	98.98074	100	99.41756	1.06755E-09	3.800033E-20	0	0.07125758	0	0	0	99.99995	7.917509E-05	5.860794	0	2.578751	0	3.282043	0	0	0	0	1	1	1	1	1	1	1	
	73	2018-10-30_15:32:44	0	Presets_dockPreset_1	True	0.5926926	58.21957	81.27306	67.68707	4.595668E-13	150	0	149.8813	5.198453	59.75296	41.3725	99.68171	0.4513392	11.25275	2.34433	2.813186	0	6.09523	0	0	0	0	1	0	1	0	0	0	0	
	74	2018-10-30_15:32:45	0	ZEROING DATA	True	0.5950204	99.20374	100	99.54499	1.975011E-16	0.0001082678	0	0.1275833	0	0	0	99.99992	0.0001418796	0	0	0	0	0	0	0	0	0	1	1	1	1	1	1	1	
	75	2018-10-30_15:32:45	0	Presets_dockPreset_2	True	0.5950698	62.38965	76.42184	65.15958	89.92841	89.99994	0	89.92844	40.8728	59.61224	67.70984	99.69781	0.4867241	2.578758	0	0	0	2.578758	0	0	0	0	0	0	1	0	0	0	0	
	76	2018-10-30_15:32:46	0	ZEROING DATA	True	0.5916055	99.94615	100	99.96923	0.07666016	6.518399E-05	0	0.07666761	0	0	0	99.99987	0.0001704366	17.58234	5.157463	5.626342	0	6.798538	0	0	0	0	1	1	1	1	1	1	1	
	77	2018-10-30_15:32:47	0	Presets_dockPreset_4	True	0.6533653	79.34969	67.48133	67.68377	109.9494	38.56329	0	0.7681745	82.90137	148.3245	27.27631	99.70396	0.4530923	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	
	78	2018-10-30_15:32:48	0	ZEROING DATA	True	0.5956087	99.88108	100	99.93204	0.08184814	2.096208E-05	0	0.0002927675	0	0	0	99.99994	9.129097E-05	4.923096	0	4.923096	0	0	0	0	0	0	1	1	1	1	1	1	1	
	79	2018-10-30_15:32:48	0	Presets_dockPreset_3	True	0.4132315	51.20922	86.11337	59.22573	109.377	113.3061	0	134.2368	87.47446	11.18663	63.80115	99.68712	0.5770913	12.89377	2.109863	5.39196	0	5.391945	0	0	0	0	0	0	1	0	0	0	0	
	80	2018-10-30_15:32:49	0	ZEROING DATA	True	0.4183038	99.75554	100	99.86031	0.5794678	0.003171896	0	0.708605	0	0	0	99.9994	0.001434716	0	0	0	0	0	0	0	0	0	1	1	1	1	1	1	1	
	81	2018-10-30_15:32:50	0	Ltd Random	False	1.482683	81.79128	88.88889	77.69025	30	69.69617	0	29.99999	90	60	0	99.50134	0.3107735	12.19049	12.19049	0	0	0	0	0	0	0	0	0	1	0	0	0	1	
	82	2018-10-30_15:32:51	0	ZEROING DATA	True	0.5376164	99.64182	100	99.79533	0.04156494	0.0001325253	0	0.04157532	0	0	0	99.99994	9.252532E-05	9.611633	9.611633	0	0	0	0	0	0	0	1	1	1	1	1	1	1	
	83	2018-10-30_15:32:52	0	Presets_dockPreset_5	True	0.5948312	87.05412	82.57116	80.91454	1.792247E-05	2.462767E-11	0	89.92834	53.15076	55.97214	38.14362	99.80492	0.2635499	14.53481	0	11.25276	0	3.282051	0	0	0	0	1	1	1	0	0	0	0	
	84	2018-10-30_15:32:52	0	ZEROING DATA	True	0.5957311	99.78138	100	99.87508	7.228305E-09	4.005905E-18	0	0.06694869	0	0	0	99.99994	7.438744E-05	19.22345	10.315	8.908447	0	0	0	0	0	0	1	1	1	1	1	1	1	
	85	2018-10-30_15:32:53	0	Ltd Random	False	0.654045	79.73071	50	64.60802	30.4946	30.00385	0	90.12914	30	180	90	99.67252	0.5006973	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	
	86	2018-10-30_15:32:54	0	ZEROING DATA	True	0.6562294	99.7983	100	99.88474	0.01150513	4.333959E-06	0	0.0341377	0	0	0	99.99996	5.071907E-05	9.142822	4.923035	4.219788	0	0	0	0	0	0	1	1	1	1	1	1	1	
	87	2018-10-30_15:32:55	0	Ltd Random	False	0.6550017	77.19367	83.33333	79.82496	89.96133	51.05566	0	29.98708	5.008957E-06	5.008957E-06	90	99.81004	0.2900046	0	0	0	0	0	0	0	0	0	0	0	1	0	1	1	0	
	88	2018-10-30_15:33:01	0	ZEROING DATA	True	5.603045	99.93488	100	99.96279	1.588768E-25	1.611493E-43	0	5.288821E-26	0	0	0	100	2.352945E-28	88.14645	27.66296	30.47617	0	30.00733	0	0	0	0	1	1	1	1	1	1	1	
	89	2018-10-30_15:33:02	0	Ltd Random	False	1.067992	49.05251	100	63.74429	90.00323	129.1702	0	149.9928	90	0	0	99.29366	0.5101847	31.64834	11.72156	10.31506	0	9.611725	0	0	0	0	0	0	1	0	0	1	1	
	90	2018-10-30_15:33:02	0	ZEROING DATA	True	0.5975143	99.83098	100	99.90342	0.06765747	7.297296E-05	0	0.1125286	0	0	0	99.99986	0.0002002878	7.032929	4.688599	2.34433	0	0	0	0	0	0	1	1	1	1	1	1	1	
	91	2018-10-30_15:33:03	0	Presets_dockPreset_1	True	0.5374565	57.94166	74.1846	59.71975	4.346985	150	0	149.1764	65.30801	9.039825	130.3633	99.11987	0.564705	2.109886	0	0	0	2.109886	0	0	0	3	4	0	1	0	0	0	0	
	92	2018-10-30_15:33:04	0	ZEROING DATA	True	0.6532708	99.45465	100	99.68837	0.0009523987	2.406058E-05	0	0.05977846	0	0	0	99.99994	6.750546E-05	23.67758	4.688629	11.48712	0	7.50183	0	0	0	0	1	1	1	1	1	1	1	
	93	2018-10-30_15:33:05	0	Ltd Random	False	0.5929986	65.60519	83.33333	66.06011	89.9234	129.6201	0	29.97451	90	90.00001	0	99.66777	0.4772423	10.31497	0	4.688599	0	5.626373	0	0	0	0	0	0	1	0	0	0	1	
	94	2018-10-30_15:33:05	0	ZEROING DATA	True	0.5354792	99.84367	100	99.91068	0.1411133	0.0003181032	0	0.04703228	0	0	0	99.99989	0.0002094041	0	0	0	0	0	0	0	0	0	1	1	1	1	1	1	1	
	95	2018-10-30_15:33:06	0	Presets_dockPreset_2	False	0.712881	62.83194	65.09698	62.25355	90.03073	89.99976	0	89.92387	19.519	178.5051	9.971161	99.49444	0.5310552	23.91209	10.78387	4.923095	0	8.205124	0	0	0	0	0	0	1	0	0	0	0	
	96	2018-10-30_15:33:07	0	ZEROING DATA	True	0.6531205	99.84792	100	99.9131	0.03863525	1.659699E-05	0	0.03859817	0	0	0	99.99994	8.583335E-05	11.72164	0	5.626403	0	6.095238	0	0	0	0	1	1	1	1	1	1	1	
	97	2018-10-30_15:33:08	0	Ltd Random	False	1.487021	76.23359	61.11111	67.37157	30.00668	109.2311	0	30.00495	30	30	180	99.2652	0.4547141	12.89371	4.923035	5.860779	0	2.109894	0	0	0	0	0	0	1	0	0	0	0	
	98	2018-10-30_15:33:09	0	ZEROING DATA	True	0.6514826	99.71078	100	99.83473	0.01376343	2.301559E-05	0	0.01377748	0	0	0	99.99997	3.062658E-05	18.98901	6.095216	4.923096	0	7.970702	0	0	0	0	1	1	1	1	1	1	1	
	99	2018-10-30_15:33:10	0	Presets_dockPreset_4	False	0.7120285	79.55798	80.46616	77.82369	109.9742	38.28735	0	0.7963691	26.75623	34.90634	70.5764	99.7159	0.3125521	19.69227	5.626373	5.157471	0	8.908423	0	0	0	0	0	0	1	1	0	0	0	
	100	2018-10-30_15:33:11	0	ZEROING DATA	True	0.5958531	99.59798	100	99.77027	0.08172607	2.090512E-05	0	0.0003035968	0	0	0	99.99994	9.116731E-05	5.626373	5.626373	0	0	0	0	0	0	0	1	1	1	1	1	1	1	
	101	2018-10-30_15:33:11	0	Presets_dockPreset_3	True	0.5924353	50.36004	54.52683	45.39806	109.9121	113.3066	0	134.8923	85.02153	172.2775	73.27765	99.40136	0.7652085	18.98891	6.798462	4.688599	0	7.501846	0	0	0	0	0	0	1	0	0	0	0	
	102	2018-10-30_15:33:12	0	ZEROING DATA	True	0.6587275	99.8685	100	99.92486	0.04107666	1.585622E-05	0	0.05017711	0	0	0	99.99991	0.0001014107	24.84977	10.54938	8.674011	0	5.626381	0	0	0	0	1	1	1	1	1	1	1	
	103	2018-10-30_15:33:13	0	Presets_dockPreset_5	False	0.5948254	86.89207	64.05642	74.70059	1.802185E-05	3.053254E-12	0	89.9229	30.30007	134.4321	59.66327	99.78407	0.3492426	2.34433	0	2.34433	0	0	0	0	0	0	1	1	1	0	0	0	0	
